ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Wholly irrigated holdings,Area of wholly irrigated holdings,Wholly unirrigated holdings,Area of wholly unirrigated holdings,Partially irrigated holdings,Irrigated area of partially irrigated holdings,Area of partially irrigated holdings,Holdings receiving irrigation,Net irrigated area of holdings receiving irrigation
317,India,1,Jammu And Kashmir,10,Poonch,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,10,65.936,123,485.012,12,14.812,44.436,22,80.748
318,India,1,Jammu And Kashmir,10,Poonch,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,6,49.1,23,128.1,2,1.847,3.732,8,50.947
319,India,1,Jammu And Kashmir,10,Poonch,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,1,49.55,0,0,0,0,0,1,49.55
320,India,1,Jammu And Kashmir,10,Poonch,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,1418,252.04,8677,1720.742,127,13.408,30.71,1545,265.448
321,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,3,1.716,0,0,0,0,0,3,1.716
322,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,4,5.55,0,0,0,0,0,4,5.55
323,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
324,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,2,5.25,0,0,1,0.747,1.833,3,5.997
325,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
326,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
327,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
328,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,9.2,0,0,0,0,0,1,9.2
329,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,4,441.5,0,0,0,0,0,4,441.5
330,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,7,1.3,0,0,0,0,0,7,1.3
331,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,4473,2992.94,2831,1923.289,6631,2492.947,4529.294,11104,5485.887
332,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1281,1636.981,760,1001.019,3072,1965.509,4070.219,4353,3602.49
333,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,9,111.7,0,0,0,0,0,9,111.7
334,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,178,413.905,218,488.813,774,700.175,1680.672,952,1114.08
335,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,38,123.694,9,21.806,137,152.276,422.369,175,275.97
336,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,38,180.282,0,0,50,42.178,207.183,88,222.46
337,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,8,46.3,11,57.99,32,34.847,169.475,40,81.147
338,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,19,166.85,0,0,8,1.974,65.25,27,168.824
339,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
340,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,26169,5580.853,15541,2540.888,7599,1411.679,2344.051,33768,6992.532
341,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
342,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
343,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
344,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
345,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
346,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
347,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
348,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
349,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
350,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
351,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,1813,1236.233,713,412.267,1571,413.21,942.509,3384,1649.443
352,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,427,544.89,106,132.607,826,476.061,996.463,1253,1020.951
353,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
354,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,159,370.15,7,17.35,0,0,0,159,370.15
355,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,21,65.077,0,0,9,14.571,32.332,30,79.648
356,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,9,17.661,31.957,9,17.661
357,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,4,22.8,0,0,0,0,0,4,22.8
358,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,1,8.45,0,0,0,0,0,1,8.45
359,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
360,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,10779,2432.746,2845,689.617,1228,232.738,442.644,12007,2665.484
361,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,4,2.8,0,0,0,0,0,4,2.8
362,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,5,8.45,0,0,0,0,0,5,8.45
363,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,2,27.1,0,0,0,0,0,2,27.1
364,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,1,2.25,0,0,0,0,0,1,2.25
365,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,1,3.1,0,0,0,0,0,1,3.1
366,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,1,4.85,0,0,0,0,0,1,4.85
367,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,1,6.4,0,0,0,0,0
368,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,7.5,0,0,0,0,0,1,7.5
369,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,2,475.8,0,0,0,0,0,2,475.8
370,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,4,0.75,58,6.888,0,0,0,4,0.75
371,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,2648,1845.133,8063,4490.198,747,167.931,454.814,3395,2013.064
372,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,2438,3264.312,6892,7124.213,959,287.525,1142.814,3397,3551.837
373,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,39,474.65,5,46.757,0,0,0,39,474.65
374,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,875,2119.415,1812,3233.378,442,184.426,822.524,1317,2303.841
375,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,293,1019.514,654,1580.75,229,102.704,545.643,522,1122.218
376,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,188,831.168,251,730.796,99,62.42,325.912,287,893.588
377,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,122,662.549,162,676.224,101,74.988,442.335,223,737.537
378,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,37,310.885,25,149.796,16,19.747,104.033,53,330.632
379,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
380,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,5919,1296.125,14691,2831.189,489,60.397,135.046,6408,1356.522
381,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,57,40.477,837,482.01,1,0.404,0.91,58,40.881
382,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,359,478.488,256,274.238,8,4.151,10.25,367,482.639
383,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
384,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,72,180.444,58,99.827,2,0.63,2.869,74,181.074
385,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,9,29.35,26,54.356,2,1.154,5.926,11,30.504
386,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,10,44.15,0,0,0,0,0,10,44.15
387,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,8,46.1,0,0,2,0.917,6.878,10,47.017
388,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
389,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
390,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,126,32.475,2149,398.233,0,0,0,126,32.475
391,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,318,225.046,5867,3505.393,326,68.579,203.79,644,293.625
392,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,391,550.894,5121,5545.93,435,119.453,501.851,826,670.347
393,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,14,178.7,0,0,0,0,0,14,178.7
394,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,166,403.553,1536,2778.584,305,121.99,586.255,471,525.543
395,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,64,221.677,454,1114.182,177,85.037,531.528,241,306.714
396,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,41,181.65,196,655.523,40,44.204,129.962,81,225.854
397,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,152,900.7,33,118.437,40,25.8,120.029,192,926.5
398,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,39,319.45,3,11.162,11,8.055,55.364,50,327.505
399,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
400,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,832,180.176,8469,1678.361,78,5.819,19.409,910,185.995
401,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,1,0.9,0,0,0,0,0,1,0.9
402,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
403,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,1,16.45,0,0,0,0,0,1,16.45
404,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,1,2,0,0,0,0,0,1,2
405,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
406,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
407,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
408,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,7.65,0,0,0,0,0,1,7.65
409,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0,0,0,0,0,0
410,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,36,4.1,0,0,0,0,0,36,4.1
411,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,1009,707.755,790,586.153,323,136.391,215.933,1332,844.146
412,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,547,830.738,275,394.167,253,222.903,341.462,800,1053.641
413,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,3,42.55,0,0,0,0,0,3,42.55
414,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,107,279.542,126,317.819,3,6.633,7.539,110,286.175
415,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,43,148.817,0,0,0,0,0,43,148.817
416,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,7,31.85,0,0,0,0,0,7,31.85
417,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,10,66.45,0,0,0,0,0,10,66.45
418,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,1,8.8,0,0,0,0,0,1,8.8
419,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
420,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,14335,2156.136,4134,811.746,743,137.483,206.616,15078,2293.619
421,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
422,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
423,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
424,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
425,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
426,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
427,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
428,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
429,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
430,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
431,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
432,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
433,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
434,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
435,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
436,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
437,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
438,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
439,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
440,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
441,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,6,4.55,0,0,0,0,0,6,4.55
442,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,6,10.45,0,0,5,0.756,4.629,11,11.206
443,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
444,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,9,23.75,0,0,0,0,0,9,23.75
445,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,1,3.85,0,0,0,0,0,1,3.85
446,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,1,4.8,0,0,0,0,0,1,4.8
447,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,2,12.6,0,0,0,0,0,2,12.6
448,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,2,16.3,0,0,0,0,0,2,16.3
449,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,3,95.3,0,0,0,0,0,3,95.3
450,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,19,2.95,24,3.579,0,0,0,19,2.95
451,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,1148,837.757,7280,4551,644,143.174,420.54,1792,980.931
452,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1161,1585.124,5717,6733.665,948,392.408,1185.92,2109,1977.532
453,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,20,242.708,13,123.615,10,29.543,95.05,30,272.251
454,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,341,806.379,1645,3240.838,343,185.254,622.81,684,991.633
455,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,116,393.008,951,2605.187,250,143.377,646.2,366,536.385
456,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,80,325.084,370,1387.028,130,67.564,436.952,210,392.648
457,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,88,527.579,313,1397.817,109,76.126,429.593,197,603.705
458,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,46,390.422,32,213.166,42,68.563,267.848,88,458.985
459,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,1,23.25,1,24.2,0,0,0,1,23.25
460,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,2437,520.353,15006,2885.164,448,51.653,129.993,2885,572.006
461,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,387,258.501,3033,1788.385,281,73.201,174.069,668,331.702
462,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,282,392.427,1807,2030.22,341,127.735,407.339,623,520.162
463,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,3,33.05,3,25.966,0,0,0,3,33.05
464,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,72,176.329,391,760.325,236,133.366,519.31,308,309.695
465,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,38,130.107,150,388.809,82,61.948,227.217,120,192.055
